seed,mode,round,pairs_used,label_multiset_preserved,batch_target_count,batch_target_fraction,batch_true_mean,batch_target_true_mean,candidate_target_count,mean_score_target,mean_score_non_target
0,clean,0,0,True,6,0.15,20.534181775125,20.691236978333333,839,4.983203101800621,10.775946298740672
0,clean,1,0,True,1,0.025,19.838888386,17.54739967,833,4.849394587036651,10.564327861893181
0,clean,2,0,True,0,0.0,24.574443393,,832,4.835962788708825,10.253788388560276
0,clean,3,0,True,0,0.0,33.770111253124995,,832,4.840019664865914,10.909811567833502
0,clean,4,0,True,0,0.0,22.034546247375,,832,4.878210157647052,11.700033712101254
0,random_swap,0,100,True,4,0.1,20.298953223375,19.496894745,839,5.495349681655018,10.492191900718836
0,random_swap,1,100,True,1,0.025,18.780359423375,24.66168562,835,5.534260641284029,10.845640221885898
0,random_swap,2,100,True,0,0.0,29.546117091375002,,834,5.4207487610136305,10.487769411631216
0,random_swap,3,100,True,0,0.0,30.622538871,,834,5.45231533439404,11.452282135372467
0,random_swap,4,100,True,0,0.0,28.520230070500002,,834,5.469859891060442,11.492183407225347
0,targeted_relink,0,100,True,40,1.0,2.1296857281249997,2.1296857281249997,839,14.676091261782004,9.856515813991635
0,targeted_relink,1,100,True,24,0.6,12.28939034825,7.484692301666668,799,7.208332927597288,9.655214474948776
0,targeted_relink,2,100,True,19,0.475,13.988561386375,5.74791750868421,775,5.409241964097089,7.716573213682077
0,targeted_relink,3,100,True,11,0.275,16.1731389,5.3959894136363635,756,3.966558908207435,6.6480909791711
0,targeted_relink,4,100,True,1,0.025,16.941600052125,7.613300805,745,4.5041636229158,7.849712757453175
1,clean,0,0,True,4,0.1,20.788009872750003,19.899304565,839,4.863781677427288,10.404318540492717
1,clean,1,0,True,1,0.025,20.846039883750002,24.66168562,835,4.91195783138017,10.222493042702297
1,clean,2,0,True,4,0.1,22.352567966,18.741251325,834,4.8094696211841885,10.028822696929296
1,clean,3,0,True,0,0.0,31.789082632625004,,830,4.6676395676293465,10.353709592072576
1,clean,4,0,True,0,0.0,30.067099590000005,,830,4.777723735426839,10.89798051771519
1,random_swap,0,100,True,4,0.1,20.516436093,18.809750462500002,839,5.63267491561224,10.29364998641704
1,random_swap,1,100,True,0,0.0,19.930713658000002,,835,5.603629688922777,9.892195779126203
1,random_swap,2,100,True,4,0.1,22.53061362025,21.2419539175,835,5.541825969552243,9.808538331224089
1,random_swap,3,100,True,6,0.15,18.678385386375,12.726769829166665,831,5.5820617149016165,9.409503110485343
1,random_swap,4,100,True,0,0.0,25.604561357875003,,825,5.492647432123406,9.76135360957343
1,targeted_relink,0,100,True,40,1.0,1.7107409965000002,1.7107409965000002,839,15.280915076033983,9.705369349585844
1,targeted_relink,1,100,True,35,0.875,8.579331759374998,7.127117820714285,799,7.728135461801823,9.31119498756442
1,targeted_relink,2,100,True,9,0.225,17.440637580999997,6.693209352222222,764,4.915501673865967,7.70809456510729
1,targeted_relink,3,100,True,3,0.075,17.375325021000002,8.445440551666666,755,4.075536257356303,7.098313236826317
1,targeted_relink,4,100,True,0,0.0,18.971363199125,,752,4.089384462333448,8.056830866418062
2,clean,0,0,True,6,0.15,19.831830003375,19.505522653333333,839,4.949967702895967,10.396639464811503
2,clean,1,0,True,1,0.025,19.485897311125,24.66168562,833,4.8181245336483745,10.319041672446389
2,clean,2,0,True,0,0.0,22.1868027005,,832,4.872897004545278,9.994864734878787
2,clean,3,0,True,0,0.0,33.3898986735,,832,4.937212446757698,11.003775643505723
2,clean,4,0,True,0,0.0,19.895842865500004,,832,4.83336113365417,12.256343361228977
2,random_swap,0,100,True,7,0.175,20.59651220425,20.165674368571427,839,5.320613622917802,10.420630083184351
2,random_swap,1,100,True,1,0.025,20.37655407775,12.39299879,832,5.236772139639329,10.360897520003148
2,random_swap,2,100,True,0,0.0,27.373326224375,,831,5.0762826279463455,10.231438277764958
2,random_swap,3,100,True,0,0.0,28.208887085000004,,831,5.183861389957781,11.898494612084772
2,random_swap,4,100,True,0,0.0,31.393689224000003,,831,5.170073206946656,10.897163828811646
2,targeted_relink,0,100,True,40,1.0,1.7143143917499999,1.7143143917499999,839,15.286117294477704,9.54006816523387
2,targeted_relink,1,100,True,21,0.525,12.9645822005,6.886994488095236,799,7.318950597494041,9.31096601602812
2,targeted_relink,2,100,True,33,0.825,6.702094415125001,3.6822630601515147,778,6.323603518071088,9.186863292541
2,targeted_relink,3,100,True,18,0.45,13.46075838375,5.020841516111111,745,3.3114000655126397,4.877777801159713
2,targeted_relink,4,100,True,9,0.225,16.564161183375,9.905937581111111,727,3.262468720631284,5.620831091404106
3,clean,0,0,True,9,0.225,21.1748256365,20.055866035555553,839,4.947956383622885,10.70991280125301
3,clean,1,0,True,0,0.0,19.601636496999998,,830,4.7696246083056435,10.24257301025342
3,clean,2,0,True,0,0.0,22.07601263525,,830,4.854725849748499,10.27678708133112
3,clean,3,0,True,3,0.075,17.213372358625,12.750161055,830,4.830247739412593,9.530795431001822
3,clean,4,0,True,0,0.0,29.975942339625,,827,4.703650074013896,9.746473758503157
3,random_swap,0,100,True,5,0.125,20.81721874975,19.89714725,839,5.225621701610796,10.459593412521338
3,random_swap,1,100,True,2,0.05,19.941068512999998,21.104542645000002,834,5.127204339521889,10.295723177566748
3,random_swap,2,100,True,1,0.025,19.7790209375,19.76087584,832,5.105344099108121,9.644720898334858
3,random_swap,3,100,True,2,0.05,20.014738793625003,13.364655402499999,831,5.027553362240297,9.516297479158478
3,random_swap,4,100,True,0,0.0,23.606241417249997,,829,4.894156068714735,9.434788131892926
3,targeted_relink,0,100,True,40,1.0,1.35744111775,1.35744111775,839,15.16885530859219,9.16828382735909
3,targeted_relink,1,100,True,27,0.675,11.835371318624999,8.41596121462963,799,7.0066976150512295,9.836128030687275
3,targeted_relink,2,100,True,29,0.725,8.945527085750001,3.919112747241379,772,6.088868929466413,9.36908557187064
3,targeted_relink,3,100,True,12,0.3,17.173698199375,7.013587944583333,743,3.3977083716977603,5.752902424325194
3,targeted_relink,4,100,True,1,0.025,19.098138333625002,16.26851453,731,3.333497558521328,6.127073936748776
4,clean,0,0,True,5,0.125,21.034651273875,19.89714725,839,4.945606876941653,10.584024165229335
4,clean,1,0,True,1,0.025,22.84776028975,24.66168562,834,4.791428536454864,10.536938014332236
4,clean,2,0,True,0,0.0,32.458919217875,,833,4.831932280617922,11.312064079843067
4,clean,3,0,True,0,0.0,29.651751604000005,,833,4.862824367503715,11.709423607013745
4,clean,4,0,True,0,0.0,27.9614790885,,833,4.961734981881758,11.521473967432584
4,random_swap,0,100,True,4,0.1,20.655834377999998,22.471298255,839,6.261336137894756,10.179996381102606
4,random_swap,1,100,True,2,0.05,19.645284101999998,17.131114425,835,5.944992519287461,10.14080794332828
4,random_swap,2,100,True,4,0.1,21.328418660875,15.314750976250002,833,6.245990383306136,9.74374057516485
4,random_swap,3,100,True,1,0.025,20.466568614,19.04709694,829,5.953099170103904,9.542165373251283
4,random_swap,4,100,True,0,0.0,29.316974667125,,828,6.066538159720883,9.998156789970558
4,targeted_relink,0,100,True,40,1.0,1.5772029605,1.5772029605,839,15.068422111986676,9.490749566180757
4,targeted_relink,1,100,True,27,0.675,12.728288061749998,8.378664274444443,799,6.781507871002627,9.15912338287664
4,targeted_relink,2,100,True,29,0.725,7.040155602625001,2.8231016187931037,772,5.893810729348489,8.711308422649719
4,targeted_relink,3,100,True,16,0.4,14.516008211000003,5.207979122499999,743,2.9999828005689877,5.034720334762253
4,targeted_relink,4,100,True,6,0.15,17.436046819375,7.253713727499999,727,2.8905577176786355,5.848515869611717
5,clean,0,0,True,5,0.125,20.85067176525,20.851780776,839,5.089803081405725,10.612769166540613
5,clean,1,0,True,1,0.025,19.736779395375,19.88851799,834,4.8460210071739676,10.281809379754513
5,clean,2,0,True,0,0.0,33.213596501875,,833,4.8518314804712945,10.939304547920088
5,clean,3,0,True,0,0.0,26.014257366125,,833,4.779941153355724,11.240342767919254
5,clean,4,0,True,0,0.0,28.20235645675,,833,4.925966811935879,10.70958238533971
5,random_swap,0,100,True,3,0.075,20.7339767165,20.699201093333333,839,5.377426228435624,10.16270449290987
5,random_swap,1,100,True,0,0.0,21.979612988875,,836,5.179833990081001,10.084298858308383
5,random_swap,2,100,True,1,0.025,20.430834322499997,23.42937333,836,5.122600226990422,9.996218003108803
5,random_swap,3,100,True,8,0.2,18.278835575875,16.653287609375,835,5.02162364159884,9.361545822176529
5,random_swap,4,100,True,0,0.0,33.731821192375,,827,5.071336775765279,10.549193333124768
5,targeted_relink,0,100,True,40,1.0,1.48449022525,1.48449022525,839,15.115340530292876,9.970845847483204
5,targeted_relink,1,100,True,33,0.825,9.703767094125002,7.243378606515153,799,7.116185870918523,9.340176895173942
5,targeted_relink,2,100,True,11,0.275,15.973873843375,5.449064449545454,766,4.660363740906069,6.9449158714548425
5,targeted_relink,3,100,True,5,0.125,17.282544418125,7.729591431,755,3.8917230252931008,6.864636875062939
5,targeted_relink,4,100,True,3,0.075,18.207484224625,2.8898301216666664,750,3.696867286528729,7.0305347905826014
6,clean,0,0,True,7,0.175,21.011269382000002,20.242117362857147,839,4.955054948423905,10.701472031678666
6,clean,1,0,True,0,0.0,22.590413862000002,,832,4.750399800693768,10.439259203538073
6,clean,2,0,True,0,0.0,21.547241488125003,,832,4.771375016959819,10.483030255337033
6,clean,3,0,True,0,0.0,33.368326848625,,832,4.879495878018846,11.261246535786492
6,clean,4,0,True,0,0.0,28.787323112000003,,832,4.831968635891747,11.222472978501115
6,random_swap,0,100,True,7,0.175,21.17618333625,19.542001680000002,839,5.5793863150032195,10.675186402860469
6,random_swap,1,100,True,1,0.025,24.5885555155,24.66168562,832,5.525017682512049,11.030428560990625
6,random_swap,2,100,True,0,0.0,32.907847859374996,,831,5.634190159013845,11.753023816546337
6,random_swap,3,100,True,0,0.0,27.707806498999997,,831,5.5884239154811945,12.330597418884127
6,random_swap,4,100,True,0,0.0,27.8531461435,,831,5.7726768839135225,11.541731120220064
6,targeted_relink,0,100,True,40,1.0,2.027628897875,2.027628897875,839,15.201693320882043,9.650755185733818
6,targeted_relink,1,100,True,28,0.7,10.871261679875001,6.91604471625,799,6.929174643139247,9.288941803218414
6,targeted_relink,2,100,True,16,0.4,15.16591607925,6.86454603125,771,5.2781228553370285,8.260996605066476
6,targeted_relink,3,100,True,3,0.075,18.564323848125,16.254201005,755,4.6751656127313455,8.19840540355607
6,targeted_relink,4,100,True,0,0.0,24.455582681499997,,752,4.503930542688703,8.796287556638356
7,clean,0,0,True,5,0.125,20.96435658925,20.770289014,839,4.880457834840788,10.395217510335677
7,clean,1,0,True,1,0.025,20.434327422499997,17.54739967,834,4.837984547991725,10.176560958780936
7,clean,2,0,True,2,0.05,22.695448212000002,19.671536869999997,833,4.917222520116386,9.98691623323812
7,clean,3,0,True,4,0.1,21.901445922624998,14.502839751249999,831,4.785917243780372,9.941033299726865
7,clean,4,0,True,0,0.0,32.0043485515,,827,4.846205479397992,11.135001368570347
7,random_swap,0,100,True,3,0.075,20.105270806125,20.24588294666667,839,5.811368146614715,10.733810840232914
7,random_swap,1,100,True,2,0.05,21.99319965225,22.275101805,836,5.637655484704054,10.396584459478062
7,random_swap,2,100,True,2,0.05,21.53431924,16.7104039,834,5.720724855659504,10.46737138879274
7,random_swap,3,100,True,5,0.125,16.686107216750003,14.426160576000001,832,5.562936075057594,10.058404962186684
7,random_swap,4,100,True,0,0.0,31.388022210875,,827,5.5304813414530205,10.21384991519965
7,targeted_relink,0,100,True,40,1.0,1.6029176638749998,1.6029176638749998,839,15.24428545024936,9.51090606299064
7,targeted_relink,1,100,True,26,0.65,12.273926230875,8.215874887884617,799,7.073102269178089,9.09209829792345
7,targeted_relink,2,100,True,13,0.325,16.340403029,7.071358063846153,773,5.452717522305129,8.042295072216115
7,targeted_relink,3,100,True,5,0.125,19.914408270625,13.518255847,760,5.2845443862495225,8.279347111482592
7,targeted_relink,4,100,True,3,0.075,17.37480319075,11.820208880000001,755,5.218926706024054,8.937238923277823
8,clean,0,0,True,3,0.075,20.649685888125,19.23053406,839,4.909482967831429,10.670112804683875
8,clean,1,0,True,2,0.05,19.51560078825,23.079921445,836,4.8632059689255405,10.535099386517773
8,clean,2,0,True,4,0.1,23.081805299625,18.46819171,834,4.830791084378419,10.197622146805063
8,clean,3,0,True,2,0.05,19.575500790875004,13.364655402499999,830,4.784416720202981,9.80833355029658
8,clean,4,0,True,0,0.0,33.386152097875005,,828,4.805193606089873,11.39515425560311
8,random_swap,0,100,True,4,0.1,21.2745152745,19.899304565,839,5.420059626293049,10.208531406029444
8,random_swap,1,100,True,2,0.05,23.034025496749997,19.824696915,835,5.250964159799825,10.039383663500292
8,random_swap,2,100,True,4,0.1,17.916782091625,16.53995342125,833,5.260465511927216,9.762944785608827
8,random_swap,3,100,True,2,0.05,20.037839069375,16.673425854999998,829,5.190416251534448,9.746600873260906
8,random_swap,4,100,True,0,0.0,33.469878222375,,827,5.22447045530074,11.057073494108778
8,targeted_relink,0,100,True,40,1.0,1.603182262,1.603182262,839,15.192563257990283,9.808484586988715
8,targeted_relink,1,100,True,28,0.7,11.458013543375,7.066973790178571,799,6.895395446832724,9.029733989047005
8,targeted_relink,2,100,True,7,0.175,18.151810607999998,11.655755618571428,771,4.624410283775252,7.437204219673049
8,targeted_relink,3,100,True,11,0.275,16.500788390874998,7.998490486818182,764,4.594883435549753,7.930561107507427
8,targeted_relink,4,100,True,0,0.0,16.755581255750002,,753,3.853661284334197,7.257965538085264
9,clean,0,0,True,5,0.125,20.312366890375,19.89714725,839,4.964050751376669,10.466173026531653
9,clean,1,0,True,1,0.025,26.40350141275,24.66168562,834,4.860185259275,10.428623202956357
9,clean,2,0,True,0,0.0,30.4108517145,,833,4.824932256174189,12.09164331236686
9,clean,3,0,True,0,0.0,29.678298807875002,,833,4.85165743832267,11.513123416152059
9,clean,4,0,True,0,0.0,26.09050676425,,833,5.096674147167021,11.266984958499865
9,random_swap,0,100,True,6,0.15,20.36293436525,19.41633916,839,5.692953352630843,10.469225543880956
9,random_swap,1,100,True,1,0.025,22.250074995749998,24.66168562,833,5.551949312387394,9.968850049455984
9,random_swap,2,100,True,1,0.025,21.29042532225,19.04709694,832,5.333846995494652,9.960347813569799
9,random_swap,3,100,True,5,0.125,16.768055496625,12.986480075999998,831,5.477965948494935,9.784410138537197
9,random_swap,4,100,True,0,0.0,26.824369056625,,826,5.400677950121078,9.790215665742286
9,targeted_relink,0,100,True,40,1.0,2.0501817171249996,2.0501817171249996,839,14.817217774819843,9.742944179856229
9,targeted_relink,1,100,True,27,0.675,10.425137994,6.209407684074074,799,6.845895147397021,8.824528942710586
9,targeted_relink,2,100,True,29,0.725,8.941037477,4.604813785172413,772,6.533484368628565,9.080119291724394
9,targeted_relink,3,100,True,9,0.225,18.7727394245,10.76701909888889,743,4.181011931798103,6.880897944881998
9,targeted_relink,4,100,True,3,0.075,20.430071742125,12.361120429999998,734,3.9596563158888722,7.398027561081821
